RANK,BUSINESS,AI_SIGNAL_COUNT,TOP_QUOTE,TOP_CATEGORY
1,"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",5,"Horrible horrible service! Avoid at all costs. My ac went out I called them paid the road fee. When the tech came out he said and I quite “I’m not trying to cheat you”, which he was absolutely never a",other_comm_problem
2,Eastin Heating and Air,4,"I was advised that technician was on his way but provided no ETA. With origination 45 minutes away plus having to backtrack to get tools, it would improve service to keep customer updated on ETA. The ",other_comm_problem
3,Unlimited Air Conditioning and Heating,3,First appointment he called 2 hours before to tell me it was too cold outside to do a routine air conditioning check up (the high was 62 degrees that day). Rescheduled to the following week and he no-,no_callback
