RANK,BUSINESS,AI_SIGNAL_COUNT,TOP_QUOTE,TOP_CATEGORY
1,Dallas Air Duct Cleaning,32,UPDATE: I’ve tried calling over 5 or 6 times asking to speak to the manager to call me back & they refuse to call me back. They keep saying the manager is not in the office when I call and I leave my ,no_callback
2,A#1 Air,31,This company is terrible! Their employee ran into us head on in a company vehicle (see photos)and totaled our vehicle sending our son to the hospital. That was May 2025. 5 months later we are still fi,no_callback
3,billyGO Air Conditioning & Plumbing,21,"Based on ChatGPT I selected BillyGO company to fix my A/C. Next day, Jordan Wiggins arrived on time, diagnosed the problem and asked me to sign a Job Order to be sent to my email address. He was impre",other_comm_problem
4,"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",12,"Horrible horrible service! Avoid at all costs. My ac went out I called them paid the road fee. When the tech came out he said and I quite “I’m not trying to cheat you”, which he was absolutely never a",other_comm_problem
5,"Jade Air, LLC",8,"Jade air came to check on my unit, did something and blew the transformer and the panel. After waiting a week for new parts, they show up at my doorstep and leave them saying they can’t install them. ",other_comm_problem
6,Unlimited Air Conditioning and Heating,5,First appointment he called 2 hours before to tell me it was too cold outside to do a routine air conditioning check up (the high was 62 degrees that day). Rescheduled to the following week and he no-,no_callback
7,SERVPRO of Downtown Dallas - Team Shaw,3,"I was contacted by Servpro through a cold email that was sent to my personal address instead of my business contact. I responded professionally, asking for more details about their Emergency Response ",no_callback
