RANK,BUSINESS,AI_SIGNAL_COUNT,TOP_QUOTE,TOP_CATEGORY
1,K&S Heating and Air,32,"Just the worst company to work with.
I originally called because I smell something bad coming out from vents upstair. I also requested for air re-balance because some rooms are too cold during Winter.",on_hold
2,Dallas Plumbing & Air Conditioning,26,"I am writing to express my disappointment with the level of service I have received, especially given the significant amount I paid for it. I invested over $18,000 with your company and, with that, ex",other_comm_problem
3,billyGO Air Conditioning & Plumbing,14,Outrageous prices. My elderly parents were referred to BillyGO by me ( sadly ) hoping to save them some money. My father told me he was charged for over $7500 for a SINGLE electric hot water heater. Y,other_comm_problem
4,"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",9,"Horrible horrible service! Avoid at all costs. My ac went out I called them paid the road fee. When the tech came out he said and I quite “I’m not trying to cheat you”, which he was absolutely never a",other_comm_problem
5,Chapman Air & Heat,8,Absolutely horrendous service. would not recommend to the people i strongly dislike. said they would be right over for an emergency call and it took them 4 hours. then the only thing they cared about ,other_comm_problem
6,"Jade Air, LLC",7,"I scheduled a service maintenance request. Gilbert said service person would be here between 10AM  and noon. At 11:45 I called and received a return call within minutes, I was told they had an emergen",repeat_calls
7,Unlimited Air Conditioning and Heating,5,First appointment he called 2 hours before to tell me it was too cold outside to do a routine air conditioning check up (the high was 62 degrees that day). Rescheduled to the following week and he no-,other_comm_problem
